Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
532	244	572.11511	454.00705	984.60022	1018.6601	1033.4122	685.01099	846.60724	947.3045	1066.5681
533	244	571.77667	454.00177	984.47021	1018.3901	1033.2303	684.573	845.95746	947.3045	1066.5211
534	244	571.55035	453.45496	984.35321	1018.1301	1033.0612	684.07788	845.30066	947.3045	1066.4744
535	244	571.42084	453.3826	984.11914	1017.8701	1032.8453	683.57794	844.65778	947.3045	1066.4144
536	244	570.93427	453.15152	983.80048	1017.59	1032.8199	683.12097	844.02893	947.3045	1066.342
537	244	570.14215	452.46536	983.5014	1017.32	1032.8242	682.78772	843.40002	947.3045	1066.278
538	244	569.02228	452.63644	983.29987	1017.0601	1032.8199	682.61151	842.78516	947.3045	1066.2354
539	244	568.15479	452.84283	983.18927	1016.85	1032.782	682.47351	842.17725	947.3045	1066.2395
540	244	567.90369	452.95398	983.08527	1016.69	1032.7058	682.25452	841.59033	947.3045	1066.2097
541	244	568.40204	453.03864	982.9552	1016.5901	1032.5958	681.92603	841.02435	947.3045	1066.1287
542	244	569.1344	452.77933	982.81219	1016.52	1032.4817	681.54517	840.47931	947.3045	1065.9365
543	244	569.8479	452.44415	982.66913	1016.4401	1032.4268	681.14996	839.9693	947.3045	1065.689
544	244	570.13483	452.17783	982.51959	1016.34	1032.4774	680.79291	839.5011	947.3045	1065.3732
545	244	570.48157	452.12491	982.36353	1016.2101	1032.5874	680.53107	839.07483	947.3045	1065.0573
546	244	570.82825	451.98553	982.21399	1016.06	1032.7058	680.39777	838.72552	947.3045	1064.7543
547	244	570.69495	451.97144	982.09698	1015.8801	1032.765	680.27399	838.453	947.3045	1064.5067
548	244	570.43927	451.72977	982.01892	1015.6801	1032.748	680.08832	838.2923	947.3045	1064.3019
549	244	570.11627	451.5816	981.99292	1015.46	1032.6298	679.81696	838.28528	947.3045	1064.144
550	244	569.95929	452.29422	981.97339	1015.21	1032.4604	679.49316	838.48096	947.3045	1064.05
551	244	569.8855	452.59766	981.90186	1014.95	1032.4139	679.14569	838.10358	947.3045	1064.016
552	244	569.66888	452.49182	981.72632	1014.6901	1032.5536	678.7934	837.6145	947.3045	1064.0287
553	244	569.36835	452.35599	981.44025	1014.4401	1032.8369	678.51251	837.05548	947.3045	1064.0543
554	244	569.07825	452.30835	981.05664	1014.2101	1033.1456	678.36493	836.43365	947.3045	1064.0543
555	244	568.97717	451.4881	980.65997	1013.9901	1033.3868	678.30298	835.76288	947.3045	1063.9647
556	244	569.00537	451.01004	980.29584	1013.79	1033.5432	678.23639	835.06409	947.3045	1063.8068
557	244	569.31281	450.54791	979.98376	1013.6	1033.611	678.07922	834.34436	947.3045	1063.6147
558	244	569.81158	450.14569	979.69116	1013.46	1033.6068	677.84595	833.60376	947.3045	1063.4696
559	244	570.23718	451.42636	979.41809	1013.3701	1033.611	677.55554	832.8421	947.3045	1063.3971
560	244	570.4433	451.66095	979.23602	1013.36	1033.6278	677.22705	832.07349	947.3045	1063.3287
561	244	570.53174	451.24643	979.16449	1013.4	1033.6617	676.94147	831.29089	947.3045	1063.2477
562	244	570.51459	451.28525	979.16449	1013.47	1033.6659	676.77954	830.50134	947.3045	1063.1112
563	244	570.41724	451.68036	979.13202	1013.55	1033.6194	676.76526	829.70477	947.3045	1062.9916
